"ï»¿""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.502044987,2.153631236,1.772757778,1.76635443,2.171273262,2.210575371,2.042650783,3.668033259,4.786627676,3.550604956,6.364534387,
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4229772,7.565727256,17.52184612,5.707836182,4.706485141,2.453641144,5.993886236,2.642426387,17.33737115,6.392766792,4.524358889,3.510216325,4.722152616,4.162419772,4.834841974,4.714844928,3.362231849,3.75227749,4.391622521,4.248274996,3.496897475,3.596263809,4.906535505,
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.615004704,5.165676383,5.888300825,,4.649458885,3.199297902,2.500385762,2.099713037,1.517095504,1.378706629,1.228881993,1.242064526,1.22789866,1.299607362,1.315793712,1.359223905,1.353507455,1.314877238,1.543750384,1.820765344,1.98486873,2.065937255,1.593117384,1.527343798,1.490840801,1.29563805,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.143244913,7.858849637,,10.660747,7.943126843,8.095816544,7.556108638,7.051443445,6.00199742,6.348992294,7.270479733,6.40028669,6.187890046,6.605862585,6.035543972,5.616560516,5.172840787,4.741189158,4.467818902,4.564325529,4.182452941,5.358937581,5.111243987,5.047569709,5.232228435,5.757197481,
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.231250302,5.299481134,5.012801249,5.631571668,5.612105047,4.875526903,4.692310724,4.611473885,3.656477456,3.226126784,3.28052137,3.668022751,5.430206026,6.090246605,5.502591791,4.956784397,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.980875547,1.775563838,1.368213355,1.420137276,1.340463622,1.340352364,1.457038533,1.473074534,1.241228405,1.140139111,1.136317072,1.220359548,1.148823687,1.184234644,1.091880479,1.060893646,0.799696414,0.762448625,0.697879247,0.691981964,0.682994135,0.783761711,0.748004874,0.723066388,0.754254706,0.737656561,
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.095489753,2.121652479,,4.05931198,3.281866893,3.903846066,3.527373827,3.696413306,3.558483186,3.129579561,2.700973532,2.726753396,2.741168589,2.871307166,2.947831514,3.041961863,3.391039294,4.169782067,4.277206072,3.864534206,3.824309712,4.095584291,
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.358161609,2.254578082,2.198860107,2.204868643,2.268058297,2.299365653,2.184416614,2.115996473,1.980123162,1.960277083,1.990063272,1.994437951,1.925137413,2.057920669,1.956092434,1.981902791,1.893160781,1.879583076,1.894850336,1.889463749,1.885063246,1.932398253,1.953420744,1.831496628,1.698153529,1.632275745,
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.288568936,1.22265546,1.187896499,1.150166636,1.099642857,1.113739022,1.097019517,1.063664944,1.038253691,1.019597081,0.992196272,0.980245979,0.980318028,0.908241361,0.883330354,0.91385586,0.893563206,0.853723727,0.789933878,0.905623511,0.876236284,0.838957951,0.82594669,0.794686994,0.782123969,0.753887457,
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.074645754,5.092881425,3.683168507,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.313943863,2.243321171,2.42076541,2.625933437,2.299860252,3.419354185,2.86313711,3.291211146,3.325702569,2.79053338,4.669559541,4.722659506,4.680444027,
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.158642836,3.394759623,3.507360299,3.681016338,3.590425597,3.861342725,4.535321951,4.202269313,5.853287723,6.359393232,6.571714143,6.258234519,4.861850184,6.071040807,5.441041579,5.532779782,4.902661624,4.435617345,3.512254715,3.414900143,2.721230834,,,,2.386140261,2.241014347,
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51449365,2.3543353,2.253071719,2.188663699,1.753146782,1.660847589,1.604371342,1.538637745,1.510853693,1.449839417,1.41024961,1.385999111,1.344307249,1.278970491,1.217925208,1.216626042,1.15063652,1.09271985,1.048971449,1.093405141,1.210480883,1.157554689,1.082715648,1.041078385,1.036176547,1.002878849,
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27937981,1.898822451,1.667823696,,,,,,,,,0.71782407,0.613226969,0.524000105,0.924930363,0.972206023,1.031395571,1.025834176,0.99437304,,0.975727992,,,,1.037003376,1.035281791,
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.796753785,2.109314773,2.250185051,1.831713019,1.744534853,1.556310291,1.320948397,1.279749275,1.186556772,1.084955906,1.160291118,1.14216324,1.147021479,1.079525695,1.103989688,1.04612721,1.184953991,1.167798348,1.213335864,1.408839591,1.473168013,1.317846665,1.380620481,1.29540106,1.253351873,1.267534105,
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.255736447,1.244107892,1.116827615,1.170577699,1.326307446,1.304543965,1.601552861,1.408163416,1.483489965,1.497056415,1.489684878,1.489960496,1.434925375,1.341766241,1.251459548,1.267881673,1.190186234,1.160080603,1.024594837,1.032103146,0.971158401,1.065068834,1.233545156,1.277476751,1.241418721,1.184521244,
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29518535,3.745268844,3.021370671,2.988047809,2.609568418,2.49238965,2.380784223,2.112915306,2.182695199,2.189749735,2.613306975,2.631010015,2.838422707,2.789802274,2.696764381,2.510642307,2.387144233,2.231756539,2.365363661,1.946994587,1.92029571,1.835789467,1.486608671,1.53539843,1.538336191,
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.028374514,5.093962853,5.105633803,5.139137042,5.295566502,4.827903726,4.600171828,4.683095526,4.750904614,4.56582732,4.77398815,4.940751345,3.550831017,3.733273469,4.141712521,4.202555364,3.640435963,3.047845553,2.917546961,2.717098628,2.56535182,3.327624969,3.020213711,3.02182029,3.095699485,3.76014329,
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.624853559,2.41981435,1.995442283,1.591987672,1.420761039,1.264430024,1.24479089,1.402874032,1.306338721,1.15628414,1.189073487,1.133218204,
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.841716397,3.372074725,1.729781734,1.251047752,1.771937472,1.495383324,1.368113963,1.346646522,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492,1.649765914,1.453878087,1.372940771,1.390475577,1.265994453,1.198064317,1.34613883,
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32295967,1.216714803,1.182786633,1.052795546,1.060613152,1.132986267,1.449565559,1.279128,1.244013195,1.508335118,,1.098199865,0.818334836,0.879862515,0.845202041,0.886100873,0.896724488,0.961315208,1.008918576,1.066140748,1.367613331,1.291552142,1.09779918,1.036747945,0.962501731,1.026476576,
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.166393859,2.823260768,2.697034015,2.512037109,1.921585493,2.257896505,2.103299099,1.992719275,2.281248336,2.697431136,2.138874194,2.068228748,2.269924851,2.034143657,2.150087791,1.928874013,1.776074016,1.570609953,1.689169806,1.964475977,1.997096037,1.668170825,1.467516333,1.465639812,1.454689909,
