Total population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"11,964,906","12,273,101","12,593,688","12,915,499","13,223,928","13,505,544","13,766,792","14,003,408","14,179,656","14,249,493","14,185,729","13,984,092","13,672,870","13,300,056","12,931,791","12,625,292","12,372,113","12,183,387","12,156,685","12,414,686","13,032,161","14,069,854","15,472,076","17,053,213","18,553,819","19,789,880","20,684,982","21,299,350","21,752,257","22,227,543","22,856,302","23,677,385","24,639,841","25,678,639","26,693,486","27,614,718","28,420,974","29,145,841","29,839,994","30,577,756","31,411,743","32,358,260","33,397,058","34,499,915"
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,700",,,"15,700",,,,,
Albania,"2,135,599","2,188,650","2,241,623","2,294,578","2,347,607","2,400,801","2,454,255","2,508,026","2,562,121","2,616,530","2,671,300","2,725,029","2,777,592","2,831,682","2,891,004","2,957,390","3,033,393","3,116,009","3,194,854","3,255,859","3,289,483","3,291,695","3,266,983","3,224,901","3,179,442","3,141,102","3,112,597","3,091,902","3,079,037","3,072,725","3,071,856","3,077,378","3,089,778","3,106,701","3,124,861","3,141,800","3,156,607","3,169,665","3,181,397","3,192,723","3,204,284","3,215,988","3,227,373","3,238,316"
Algeria,"13,746,185","14,165,889","14,600,659","15,052,371","15,524,137","16,018,195","16,533,323","17,068,212","17,624,756","18,205,468","18,811,199","19,442,423","20,095,648","20,762,767","21,433,070","22,098,298","22,753,511","23,398,470","24,035,237","24,668,100","25,299,182","25,930,560","26,557,969","27,169,903","27,751,086","28,291,591","28,786,855","29,242,917","29,673,694","30,099,010","30,533,827","30,982,214","31,441,848","31,913,462","32,396,048","32,888,449","33,391,954","33,906,605","34,428,028","34,950,168","35,468,208","35,980,193","36,485,828","36,983,924"
American Samoa,"27,288","27,907","28,470","28,983","29,453","29,897","30,305","30,696","31,139","31,727","32,526","33,557","34,797","36,203","37,706","39,253","40,834","42,446","44,048","45,595","47,052","48,402","49,648","50,801","51,885","52,919","53,901","54,834","55,745","56,667","57,625","58,633","59,687","60,774","61,871","62,962","64,045","65,130","66,217","67,312","68,420","69,543","70,680","71,834"
Andorra,"24,364","25,656","26,997","28,357","29,688","30,967","32,156","33,279","34,432","35,753","37,328","39,226","41,390","43,636","45,702","47,414","48,653","49,504","50,236","51,241","52,773","54,996","57,767","60,670","63,111","64,699","65,227","64,905","64,246","63,985","64,634","66,390","69,043","72,203","75,292","77,888","79,874","81,390","82,577","83,677","84,864","86,165","87,518","88,909"
Angola,"5,926,333","6,047,736","6,179,685","6,322,194","6,474,796","6,637,419","6,808,850","6,989,988","7,185,188","7,400,231","7,638,420","7,903,368","8,191,774","8,491,682","8,786,652","9,065,562","9,322,550","9,562,796","9,799,680","10,052,567","10,335,052","10,653,515","11,002,910","11,371,750","11,742,960","12,105,105","12,452,725","12,792,237","13,138,265","13,511,575","13,926,373","14,388,244","14,890,474","15,419,943","15,957,460","16,489,021","17,010,366","17,525,367","18,037,964","18,555,115","19,081,912","19,618,432","20,162,517","20,714,494"
Anguilla,"6,400","6,454","6,506","6,554","6,596","6,630","6,662","6,691","6,713","6,716","6,698","6,651","6,586","6,536","6,551","6,661","6,881","7,197","7,575","7,964","8,332","8,669","8,985","9,277","9,549","9,805","10,036","10,244","10,461","10,727","11,068","11,498","12,003","12,548","13,083","13,574","14,008","14,393","14,737","15,055","15,358","15,645","15,911","16,158"
Antigua and Barbuda,"65,587","66,554","67,419","68,182","68,848","69,420","69,910","70,301","70,533","70,525","70,228","69,639","68,803","67,792","66,701","65,614","64,539","63,510","62,669","62,192","62,202","62,754","63,802","65,238","66,895","68,642","70,450","72,322","74,190","75,985","77,656","79,165","80,507","81,716","82,838","83,916","84,952","85,935","86,881","87,802","88,710","89,612","90,510","91,404"
Argentina,"23,983,358","24,376,109","24,791,983","25,222,223","25,654,154","26,078,731","26,492,716","26,899,177","27,303,001","27,711,808","28,131,040","28,561,561","29,001,060","29,447,973","29,899,743","30,354,240","30,810,984","31,269,799","31,729,130","32,187,173","32,642,442","33,093,579","33,540,023","33,982,035","34,420,352","34,855,160","35,287,113","35,714,929","36,134,642","36,541,029","36,930,709","37,302,116","37,657,340","38,001,251","38,340,778","38,681,174","39,023,850","39,368,066","39,714,298","40,062,470","40,412,376","40,764,561","41,118,986","41,473,982"
Armenia,"2,518,408","2,580,894","2,643,464","2,705,584","2,766,495","2,825,650","2,882,831","2,938,181","2,991,954","3,044,564","3,096,298","3,145,885","3,192,877","3,239,212","3,287,588","3,339,147","3,396,511","3,457,054","3,510,439","3,542,720","3,544,695","3,512,051","3,449,940","3,370,373","3,290,540","3,223,173","3,172,185","3,134,836","3,109,101","3,090,624","3,076,098","3,065,810","3,061,067","3,060,554","3,062,612","3,065,954","3,069,844","3,074,181","3,079,087","3,084,979","3,092,072","3,100,236","3,108,972","3,117,722"
Aruba,"59,066","59,439","59,849","60,238","60,524","60,654","60,589","60,366","60,108","59,980","60,099","60,570","61,347","62,208","62,833","63,030","62,645","61,830","61,069","61,026","62,147","64,642","68,286","72,573","76,762","80,323","83,069","85,161","86,827","88,442","90,271","92,363","94,596","96,875","99,046","100,996","102,711","104,225","105,526","106,612","107,488","108,141","108,587","108,883"
Australia,"12,728,362","12,987,847","13,236,895","13,472,175","13,690,285","13,889,696","14,067,994","14,227,905","14,379,565","14,536,839","14,709,918","14,901,610","15,109,659","15,332,790","15,567,927","15,812,088","16,066,496","16,330,369","16,596,096","16,853,690","17,096,153","17,320,633","17,529,469","17,727,413","17,921,818","18,118,416","18,319,637","18,525,153","18,734,878","18,947,894","19,164,351","19,382,188","19,604,051","19,840,120","20,103,822","20,403,520","20,744,295","21,119,988","21,513,817","21,902,300","22,268,384","22,605,732","22,918,688","23,213,944"
Austria,"7,465,908","7,497,731","7,526,469","7,550,638","7,568,347","7,578,498","7,580,564","7,575,669","7,566,450","7,556,551","7,548,798","7,544,359","7,543,194","7,545,472","7,550,960","7,559,621","7,570,906","7,585,345","7,605,095","7,632,984","7,670,513","7,719,577","7,778,255","7,839,625","7,894,229","7,935,624","7,960,464","7,971,553","7,976,117","7,984,694","8,004,712","8,038,480","8,083,059","8,134,235","8,185,553","8,232,196","8,273,208","8,309,783","8,341,806","8,369,639","8,393,644","8,413,429","8,428,915","8,441,263"
Azerbaijan,"5,172,002","5,281,238","5,387,375","5,490,572","5,591,016","5,688,997","5,784,587","5,878,259","5,971,198","6,064,905","6,160,502","6,258,490","6,358,780","6,461,139","6,565,062","6,670,151","6,775,858","6,882,160","6,989,708","7,099,449","7,211,692","7,327,570","7,445,925","7,562,075","7,669,735","7,764,798","7,845,310","7,913,692","7,975,648","8,039,312","8,110,723","8,191,464","8,280,252","8,376,733","8,479,668","8,587,902","8,701,719","8,821,012","8,943,600","9,066,604","9,187,783","9,306,023","9,421,233","9,533,445"
Bahamas,"169,367","173,875","177,849","181,490","185,091","188,870","192,885","197,090","201,474","205,990","210,600","215,330","220,188","225,083","229,899","234,553","238,989","243,236","247,409","251,671","256,128","260,845","265,761","270,701","275,426","279,774","283,677","287,217","290,571","293,988","297,651","301,606","305,801","310,201","314,739","319,358","324,066","328,861","333,661","338,358","342,877","347,176","351,275","355,233"
Bahrain,"211,878","219,532","228,255","238,468","250,683","265,160","282,245","301,559","321,751","340,980","357,957","372,074","383,785","394,164","404,829","416,929","430,845","446,142","462,184","477,995","492,891","506,685","519,696","532,362","545,329","559,069","574,914","592,986","611,237","626,765","638,193","642,510","642,070","647,164","671,760","724,807","811,410","925,733","1,052,359","1,169,578","1,261,835","1,323,535","1,359,485","1,377,273"
Bangladesh,"66,881,158","67,849,312","68,461,849","68,933,357","69,567,500","70,582,168","72,053,923","73,915,723","76,066,342","78,342,736","80,624,423","82,883,616","85,156,396","87,459,802","89,828,434","92,283,598","94,825,499","97,429,290","100,062,322","102,681,627","105,256,026","107,768,749","110,225,555","112,645,460","115,059,015","117,486,952","119,928,682","122,370,403","124,803,351","127,214,841","129,592,275","131,944,584","134,266,428","136,514,768","138,633,401","140,587,922","142,353,501","143,956,805","145,478,300","147,030,145","148,692,131","150,493,658","152,408,774","154,393,847"
Barbados,"238,593","239,841","241,345","242,949","244,433","245,646","246,523","247,128","247,589","248,101","248,796","249,716","250,809","252,017","253,244","254,419","255,532","256,602","257,621","258,588","259,501","260,351","261,136","261,885","262,637","263,416","264,237","265,088","265,941","266,758","267,511","268,192","268,813","269,389","269,947","270,503","271,062","271,618","272,180","272,750","273,331","273,925","274,530","275,141"
Belarus,"9,039,503","9,113,454","9,181,971","9,246,050","9,307,285","9,367,004","9,425,089","9,481,560","9,538,046","9,596,589","9,658,500","9,724,106","9,792,555","9,862,430","9,931,687","9,998,503","10,062,440","10,122,880","10,177,584","10,223,861","10,259,700","10,284,522","10,298,479","10,301,336","10,293,127","10,274,231","10,244,354","10,204,382","10,157,409","10,107,518","10,057,810","10,009,810","9,963,383","9,917,927","9,872,110","9,825,102","9,776,823","9,728,228","9,680,690","9,636,016","9,595,421","9,559,441","9,527,498","9,498,290"
Belgium,"9,624,908","9,660,688","9,696,539","9,730,978","9,761,867","9,787,677","9,808,403","9,824,685","9,836,487","9,843,898","9,847,297","9,846,320","9,841,800","9,836,784","9,835,279","9,840,123","9,852,488","9,871,551","9,895,654","9,922,158","9,949,019","9,976,325","10,004,469","10,032,084","10,057,529","10,079,873","10,098,192","10,113,392","10,128,653","10,148,371","10,175,684","10,211,264","10,254,025","10,303,108","10,356,993","10,414,209","10,474,993","10,538,758","10,602,167","10,660,938","10,712,066","10,754,056","10,787,788","10,815,599"
Belize,"122,336","124,973","127,389","129,600","131,642","133,562","135,334","137,009","138,806","141,014","143,829","147,358","151,535","156,171","160,991","165,792","170,504","175,192","179,952","184,935","190,241","195,895","201,832","207,962","214,153","220,311","226,403","232,446","238,457","244,471","250,512","256,582","262,667","268,760","274,855","280,947","287,035","293,124","299,237","305,398","311,627","317,928","324,292","330,721"
Benin,"2,849,508","2,908,713","2,971,515","3,037,990","3,108,179","3,182,130","3,259,918","3,341,618","3,427,274","3,516,917","3,610,578","3,708,675","3,811,326","3,917,941","4,027,682","4,140,176","4,254,522","4,371,470","4,494,242","4,627,194","4,773,137","4,934,077","5,108,335","5,290,562","5,473,217","5,651,141","5,821,985","5,988,093","6,154,708","6,329,476","6,517,810","6,721,337","6,937,985","7,164,976","7,397,985","7,633,757","7,871,707","8,112,573","8,355,980","8,601,771","8,849,892","9,099,922","9,351,838","9,606,534"
Bermuda,"51,765","52,301","52,831","53,347","53,832","54,278","54,682","55,051","55,396","55,730","56,064","56,400","56,739","57,084","57,441","57,812","58,201","58,606","59,016","59,416","59,795","60,150","60,483","60,799","61,104","61,405","61,701","61,990","62,275","62,555","62,834","63,112","63,388","63,655","63,905","64,130","64,328","64,502","64,657","64,802","64,941","65,077","65,208","65,335"
Bhutan,"301,879","312,929","324,815","337,370","350,365","363,603","377,068","390,732","404,375","417,734","430,633","442,648","453,793","464,831","476,846","490,438","506,423","524,133","540,918","553,157","558,500","555,747","546,356","533,895","523,417","518,584","520,529","528,222","540,507","555,377","571,262","588,050","606,024","624,431","642,400","659,293","674,681","688,581","701,363","713,665","725,940","738,267","750,443","762,313"
Bolivia,"4,216,572","4,319,564","4,426,012","4,535,500","4,647,442","4,761,344","4,877,275","4,995,172","5,114,274","5,233,624","5,352,649","5,471,025","5,589,245","5,708,585","5,830,816","5,957,291","6,088,253","6,223,523","6,363,470","6,508,417","6,658,462","6,813,834","6,974,168","7,138,204","7,304,230","7,470,925","7,637,622","7,804,333","7,971,237","8,138,802","8,307,248","8,476,709","8,646,659","8,815,911","8,982,917","9,146,655","9,306,660","9,463,497","9,618,466","9,773,441","9,929,849","10,088,108","10,248,042","10,409,761"
Bosnia and Herzegovina,"3,564,389","3,599,885","3,636,930","3,674,638","3,711,662","3,747,109","3,780,559","3,812,557","3,844,329","3,877,598","3,913,536","3,949,509","3,984,259","4,021,590","4,066,739","4,121,595","4,194,370","4,279,632","4,349,682","4,367,069","4,308,197","4,157,485","3,931,372","3,677,379","3,462,032","3,332,098","3,305,672","3,365,616","3,480,285","3,601,438","3,693,698","3,748,370","3,775,883","3,782,717","3,781,358","3,781,001","3,781,588","3,779,034","3,774,164","3,767,683","3,760,149","3,752,228","3,744,235","3,735,880"
Botswana,"692,959","715,745","739,683","765,101","792,432","821,942","853,774","887,716","923,234","959,584","996,211","1,032,889","1,069,707","1,106,802","1,144,442","1,182,803","1,221,790","1,261,235","1,301,146","1,341,540","1,382,371","1,423,570","1,464,924","1,506,037","1,546,414","1,585,637","1,623,704","1,660,538","1,695,587","1,728,179","1,757,925","1,784,449","1,808,103","1,830,127","1,852,243","1,875,673","1,900,905","1,927,540","1,954,822","1,981,576","2,006,945","2,030,738","2,053,237","2,074,616"
Brazil,"96,078,304","98,445,131","100,828,667","103,242,395","105,703,409","108,224,080","110,804,816","113,442,106","116,138,507","118,895,875","121,711,864","124,588,432","127,514,673","130,459,023","133,380,123","136,246,764","139,049,440","141,791,325","144,470,377","147,088,677","149,650,206","152,146,887","154,582,103","156,985,824","159,398,558","161,848,162","164,342,524","166,869,168","169,409,713","171,936,271","174,425,387","176,877,135","179,289,227","181,633,074","183,873,377","185,986,964","187,958,211","189,798,070","191,543,237","193,246,610","194,946,470","196,655,014","198,360,943","200,050,487"
British Virgin Islands,"9,810","9,978","10,134","10,272","10,389","10,484","10,552","10,604","10,671","10,798","11,013","11,326","11,727","12,205","12,743","13,324","13,951","14,618","15,290","15,926","16,491","16,970","17,371","17,724","18,070","18,440","18,844","19,270","19,702","20,117","20,499","20,844","21,156","21,446","21,721","21,990","22,253","22,511","22,762","23,007","23,245","23,478","23,705","23,928"
Brunei,"125,088","131,010","137,181","143,548","150,039","156,595","163,208","169,865","176,488","182,986","189,300","195,394","201,301","207,122","213,002","219,050","225,288","231,700","238,305","245,112","252,125","259,357","266,794","274,371","282,000","289,614","297,188","304,726","312,216","319,654","327,036","334,348","341,585","348,771","355,943","363,123","370,317","377,513","384,695","391,837","398,920","405,938","412,892","419,772"
Bulgaria,"8,489,572","8,541,136","8,590,839","8,637,941","8,681,449","8,720,706","8,754,869","8,784,175","8,810,299","8,835,614","8,861,536","8,888,449","8,914,880","8,938,068","8,954,236","8,960,417","8,956,687","8,943,245","8,917,563","8,876,627","8,818,915","8,743,034","8,651,284","8,550,495","8,449,971","8,356,624","8,273,011","8,198,008","8,130,284","8,067,041","8,006,158","7,947,761","7,892,666","7,840,117","7,789,180","7,739,115","7,689,520","7,640,283","7,591,322","7,542,674","7,494,332","7,446,135","7,397,873","7,349,462"
Burkina Faso,"5,807,492","5,923,949","6,044,303","6,169,133","6,299,238","6,435,274","6,577,502","6,726,016","6,881,106","7,043,049","7,212,088","7,388,473","7,572,382","7,763,888","7,963,009","8,169,792","8,384,383","8,606,963","8,837,666","9,076,631","9,323,996","9,580,035","9,844,931","10,118,634","10,401,025","10,692,138","10,992,170","11,301,608","11,621,159","11,951,701","12,294,012","12,648,474","13,015,435","13,395,599","13,789,736","14,198,463","14,622,202","15,061,127","15,515,258","15,984,479","16,468,714","16,967,845","17,481,984","18,011,507"
Burundi,"3,513,499","3,549,864","3,577,187","3,602,204","3,634,284","3,680,401","3,742,452","3,819,115","3,910,124","4,014,190","4,129,997","4,257,303","4,395,560","4,542,467","4,695,065","4,850,597","5,008,201","5,166,403","5,321,108","5,467,413","5,601,720","5,724,030","5,835,071","5,933,293","6,017,127","6,086,751","6,140,258","6,181,493","6,223,515","6,283,662","6,374,347","6,499,653","6,656,071","6,838,764","7,039,534","7,251,424","7,474,363","7,707,781","7,943,385","8,170,853","8,382,849","8,575,172","8,749,387","8,911,183"
Cambodia,"6,937,996","7,039,481","7,118,136","7,162,333","7,157,572","7,097,800","6,972,559","6,796,368","6,618,684","6,506,208","6,505,693","6,636,869","6,883,519","7,211,815","7,570,081","7,919,802","8,250,479","8,571,130","8,885,701","9,203,893","9,531,928","9,868,226","10,205,755","10,539,239","10,862,069","11,169,233","11,458,858","11,731,187","11,986,128","12,224,414","12,446,949","12,653,684","12,845,222","13,024,171","13,193,961","13,357,574","13,515,884","13,669,857","13,822,644","13,977,903","14,138,255","14,305,183","14,478,320","14,656,016"
